,Census Tract ID,Lon,Lat,Distance from CBD,Number of historical sites,Change in children,Change in households,Moved recently,Working women change
76,8031004103,-104.92229157199995,39.76193366700005,4.017467089135084,1,155.10799999999995,-110.0,460.0,852.168
77,8031004104,-104.90343941999993,39.76198380900007,4.9866409702393115,1,-616.0920000000001,-15.0,227.0,-287.54399999999987
78,8031004306,-104.90345933099991,39.711758915000075,5.355225183856396,1,-386.595,-164.0,222.0,360.0379999999998
79,8031004403,-104.8987317619999,39.749825773000055,5.106956250927148,1,-426.0649999999998,-34.0,263.0,-190.19199999999978
80,8031004404,-104.90173900999991,39.732873372000086,5.00421830637988,1,2337.044,446.0,1016.0,2627.386
81,8031004405,-104.8847044659999,39.73284717800004,5.901264660253884,1,-281.11199999999997,-344.0,360.0,922.6959999999999
82,8031004503,-105.0396135659999,39.70397218900007,3.707518608949763,1,343.70399999999995,-61.0,456.0,-1377.7960000000003
83,8031004504,-105.0495287629999,39.71132961200004,3.7368603035106474,1,346.24400000000014,-250.0,339.0,-1121.4880000000003
84,8031004505,-105.03872697299994,39.711240530000055,3.3082234417464025,1,127.08000000000004,-16.0,176.0,-856.8559999999998
85,8031004506,-105.0250837769999,39.70394800100007,3.259737082956562,1,-759.664,-297.0,132.0,582.4200000000001
86,8031004601,-105.04045499199992,39.696762886000045,4.124996541145843,1,391.7600000000002,-470.0,236.0,767.8399999999999
87,8031004602,-105.03255185799992,39.696757561000084,3.88965161130996,3,52.06800000000021,37.0,295.0,1396.427
88,8031004106,-104.86646604399994,39.798382169000035,7.748783358858056,6,-652.132,66.0,305.0,929.2059999999999
89,8031004107,-104.8990683049999,39.80020285000006,6.352578139980626,1,-689.85,-353.0,348.0,1203.776
90,8031004201,-104.92225670199991,39.74025401400007,3.855672784768198,3,1142.579,131.0,781.0,1749.776
91,8031004202,-104.91224494099993,39.75101238000008,4.39635208913685,1,-503.34600000000046,171.0,433.0,489.0799999999999
92,8031004301,-104.93037966899993,39.740134942000054,3.4254492495471585,1,-1176.4530000000002,-186.0,269.0,-1013.5880000000002
93,8031004302,-104.93029900999994,39.725617415000045,3.6629852370251563,1,-359.9859999999999,-452.0,405.0,-1309.2700000000004
94,8031004303,-104.92229162099994,39.71136327600004,4.482116277574267,1,-341.70399999999995,-329.0,465.0,466.19199999999995
95,8031004304,-104.90345509399992,39.74014630700009,4.854869570984017,1,-410.09000000000015,-343.0,288.0,352.07599999999996
96,8031004603,-105.0250379179999,39.682255405000035,4.615251313486617,1,-52.221000000000004,-318.0,363.0,1048.255
97,8031004700,-105.0481919689999,39.68225919900004,5.181440066379959,1,1581.0730000000003,-26.0,399.0,1734.7649999999999
98,8031004801,-105.04800999199995,39.66775015700006,6.036347495309704,1,514.6100000000001,-286.0,457.0,-164.606
99,8031005001,-104.91293412599993,39.71137836200006,4.915594299171051,1,1667.8200000000002,-192.0,330.0,779.488
100,8031005002,-104.90647135199993,39.71139528800006,5.221556319441824,1,-41.26200000000006,-22.0,99.0,-335.0
