LDMK_NUM,LDMK_NAME,AKA_NAME,ORD_NUM,ORD_YEAR,ADDRESS_LINE1,ADDRESS_LINE2,SITUS_NUM,SITUS_DIR,SITUS_ST,SITUS_TYPE,HISTORIC_DIST,STATE_HIST_NUM,YEAR_BUILT,ARCH_BLDR,DOCUMENT,PHOTO_LINK,NOTES,GIS_NOTES,DESCRIPTION,ADDRESS_ID
298.0,Chapel and Gateway on the Bethesda Campus,None,268,2000,4400 E. Iliff Avenue,None,4400,E,Iliff ,AVE,Not in Historic District,None,1926 and 1930,None,None,None, ,None,None,None
299.2,1173-1179 Delaware Street,Carpenter Gothic Houses ,202,2000,1173-1179 Delaware Street,None,1173,None,Delaware ,ST,Not in Historic District,None,None,None,None,None,None,None,None,None
301.0,Aromor Apartment Building,None,402,2000,"225 E. 13th Avenue, 1309 Grant Street",None,225,E,13th,AVE,Not in Historic District,5DV.3269,1926-27,None,None,None, ,None,None,None
173.0,Milheim House (relocated from 1355 Penn),None,532,1988,1355 Pennsylvania Street (original location),1515 Race Street (moved to this site in 1989),1515,None,Race,ST,Wyman,5DV.4898,1893,None,None,yes,At 1515 Race Street (moved to this site in 1989),None,None,None
175.0,Paramount Theatre,None,616,1988,1621 Glenarm Place,1621-41 Glenarm Place,1621,None,Glenarm,PL,Downtown Denver,5DV.190,1930,None,None,yes, ,None,None,None
178.0,Brown Palace Hotel,None,284,1989,321 17th Street,321-401 17th Street,321,None,17th,ST,Downtown Denver,5DV.110,1888-92,None,None,yes, ,None,None,None
179.0,Boston Building,None,368,1989,828 17th Street,"822-830 17th Street, 1660-90 Champa Street",822,None,17th,ST,Downtown Denver,5DV.108,1890,None,None,yes, ,None,None,None
184.0,Town Club/Crawford Hill House,None,676,1989,969 Sherman Street,150 E. 10th Avenue,969,None,Sherman,ST,Sherman-Grant,5DV.713,1906,None,None,yes, ,None,None,None
185.0,Guaranty Bank Building,None,231,1990,815 17th Street,"801-17 17th Street, 1715-17 Stout Street",805,None,17th,ST,Downtown Denver,5DV.5300,1920-21,None,None,yes, ,None,None,None
186.0,Ferguson - Gano House,None,260,1990,722 E. 7th Avenue,None,722,E,7th,AVE,East 7th Avenue,5DV.657,c. 1898,None,None,yes, ,None,None,None
188.0,Porter House,None,375,1990,975 Grant Street,None,975,None,Grant ,ST,Sherman-Grant,5DV.946,c. 1912,None,None,yes, ,None,None,None
194.0,Robinson House,None,670,1991,1225 Pennsylvania Street,None,1225,None,Pennsylvania,ST,Pennsylvania Street,5DV.4334,1906,None,None,yes, ,None,None,None
199.0,Brown/Garrey/Congdon House,None,322,1992,1300 E. 7th Avenue,None,1300,E,7th,AVE,East 7th Avenue,None,c. 1923,None,None,yes, ,None,None,None
201.0,Jane Silverstein Ries House,None,460,1992,737 Franklin Street,None,737,None,Franklin,ST,East 7th Avenue,None,1935,None,None,yes, ,None,None,None
